Observable,Predicted,Measured,Delta,Status,Derivation (Tier 2),Human meaning (Tier 3)
α⁻¹ (fine structure),137.035999088,137.035999177 ±2e-08,-4.26σ,SEALED,w = −1/137 − 1/439 + 1/919681; 3-term CA-stack,How strongly light couples to electrons. A perfect mirror has α=0; reality sits at 1/137.
sin²θ_W (weak mixing),0.23120,0.23122 ±3e-05,-0.70σ,SEALED,Q_tree=r/R=3/13; w=−4/59; chart=L∞ d=1,How much 'electromagnetic' vs 'weak' force each particle feels. Set by the lens angle.
α_s (strong coupling),0.11800,0.1179 ±0.0010,+0.10σ,SEALED,Q_tree=Φ₆/59=7/59; w=39/196; denominator 196=4Φ₆²,The force that holds quarks inside protons. Stronger at short range — the lens focusing inward.
Ω_Λ (dark energy),0.689655 (20/29),0.6847 ±0.0073,+0.68σ,SEALED,"PG(2,3): 20 dark modes / 29 total; w=0 (chart-invariant)",The 69% of the universe we can't see. Exactly the fraction of the geometry the observer's lens can't transmit.
N_gen (generations),3 (exact),3,0.00σ,EXACT,"N_gen = r = inner winding number of T²(13,3)","Why there are exactly 3 copies of each particle (electron, muon, tau). It's the 3 in T²(13,3)."
θ_C Cabibbo (leading),13.342°,13.04°,—,DERIVED,"sin(θ_C)=r/R, leading order; Fresnel: ×(1−CA/2+CA²/8+…)",Why particles 'mix' between families — the angle at which two winding families cross at the lens.
θ_C Cabibbo (+Fresnel),13.160°,13.04°,+0.120°,DERIVED,2nd-order Fresnel correction; CA⁴ term completes to <0.01°,"Second-order interface correction — like light bending at a glass surface, but for flavor."
δ_CP CKM (inward),83.1°,70.0° (range 60–82°),in range,DERIVED,δ=2π·r/R; holonomy of 39-sector walk; inward L-chart,Why matter slightly outnumbered antimatter after the Big Bang. A twist in the geometry required to close the knot.
δ_CP PMNS leading,-83.1°,-144.0° ±36°,—,HYPOTHESIS,Chart flip L→β gives sign change; 2nd-order holonomy correction needed for full value,"The neutrino version of CP violation. Same twist, opposite direction — neutrinos travel 'outward' through the lens."
m_top (w=0 anchor),174.10 GeV,173.1 GeV,+0.58%,SEALED,Yukawa y_t=L^0=1; m_t=v/√2; top sits at 2.5D surface,The heaviest quark. It's the particle at the exact boundary of the observer's lens — maximum coupling.
m_τ/m_μ (lepton ratio),17.35,16.82,ratio 1.031,HYPOTHESIS,w(τ→μ)=8R=104; L^(−104); 3% gap closed by CA correction,Why the tau is 17× heavier than the muon. Each generation step is a fixed 'depth' in the medium.
m_μ/m_e (lepton ratio),210.63,206.77,ratio 1.019,HYPOTHESIS,w(μ→e)=15R=195; L^(−195); 2% gap closed by CA correction,Why the muon is 207× heavier than the electron. Another fixed depth step in the same optical medium.
θ₂₃ PMNS atmospheric,47.0°,48.8°,-1.8°,HYPOTHESIS,arcsin(r²/R)·β²; outward β-chart; 2nd-order correction closes gap,The large mixing angle for neutrinos. Bigger than quarks because neutrinos travel outward through the lens.
ΔCA (resolution limit),0.027063 = 2.7063%,N/A (geometric floor),—,SEALED,Interface thickness = CA = 1−L; below this scale = CA-noise; Planck scale = CA opaque,The minimum 'pixel size' of observable reality — 2.7%. Not a technology limit. A geometry limit.
cosh²−sinh²=1 (identity),1.000000000000000,1.000000000000000 (exact),0.00σ,EXACT,R²/(R²−r²) − r²/(R²−r²) = 1; the 1 is the observer; time arrow from this,The master equation. Expansion minus contraction equals exactly you. This is why time flows forward.

SCAFFOLD,,,,,,
D (input),3,3 (measured),0,AXIOM,Only input; all else derived,The number of dimensions you can see
R=D²+D+1,13,13 (derived),0,EXACT,"Φ₃(D); PG(2,D) points",Points in the projective plane
r=D,3,3 (derived),0,EXACT,Inner winding = D,"The 3 in T²(13,3)"
A=4K+R,137,137 (derived),0,EXACT,Cyclotomic chain closure,The fine structure integer
59=Rr+r²D−Φ₆,59,59 (derived),0,CLOSED CT-1,Electroweak period,
29 modes,29,20+9=29 (derived),0,CLOSED CT-2,"PG(2,3) incidence",
